0,3,11,14,6,9,1,4,12,15,7,10>3,11,14,6,9,1,4,12,15,7,10,2
0,4,11,2,6,13,8,15,10,1,5,12>4,11,2,6,13,8,15,10,1,5,12,3
0,4,11,6,13,8,15,3,10,1,5,12>4,11,6,13,8,15,3,10,1,5,12,7
0,5,10,15,3,8,13,1,6,11,4,9>5,10,15,3,8,13,1,6,11,4,9,14
0,5,14,3,12,8,1,10,6,15,4,13>5,14,3,12,8,1,10,6,15,4,13,2
0,5,14,10,3,12,8,1,6,15,4,13>5,14,10,3,12,8,1,6,15,4,13,9
0,7,2,9,4,11,15,6,13,1,8,3>7,2,9,4,11,15,6,13,1,8,3,10
0,7,2,9,13,4,11,15,6,1,8,3>7,2,9,13,4,11,15,6,1,8,3,10
0,7,11,2,9,13,4,15,6,1,8,12>7,11,2,9,13,4,15,6,1,8,12,3
0,7,11,2,13,4,15,6,10,1,8,12>7,11,2,13,4,15,6,10,1,8,12,3
0,7,14,2,9,4,11,6,13,1,8,15>7,14,2,9,4,11,6,13,1,8,15,3
0,7,14,5,12,3,10,1,8,15,6,13>7,14,5,12,3,10,1,8,15,6,13,4
0,8,5,13,10,2,15,7,4,12,9,1>8,5,13,10,2,15,7,4,12,9,1,14
0,8,11,3,6,14,1,9,12,4,7,15>8,11,3,6,14,1,9,12,4,7,15,2
0,9,2,11,4,13,6,15,8,1,10,3>9,2,11,4,13,6,15,8,1,10,3,12
0,9,2,14,7,12,5,10,3,15,8,1>9,2,14,7,12,5,10,3,15,8,1,13
0,9,5,14,3,12,1,10,6,15,8,4>9,5,14,3,12,1,10,6,15,8,4,13
0,9,5,14,7,3,12,1,10,15,8,4>9,5,14,7,3,12,1,10,15,8,4,13
0,9,14,7,3,12,5,1,10,15,8,13>9,14,7,3,12,5,1,10,15,8,13,6
0,9,14,7,12,5,1,10,3,15,8,13>9,14,7,12,5,1,10,3,15,8,13,6
0,11,2,6,13,4,8,15,10,1,12,3>11,2,6,13,4,8,15,10,1,12,3,7
0,11,2,13,4,8,15,6,10,1,12,3>11,2,13,4,8,15,6,10,1,12,3,14
0,12,5,10,3,8,1,13,6,15,11,4>12,5,10,3,8,1,13,6,15,11,4,9
0,12,5,10,3,15,8,1,13,6,11,4>12,5,10,3,15,8,1,13,6,11,4,9
0,12,5,14,10,3,8,1,6,15,11,4>12,5,14,10,3,8,1,6,15,11,4,13
0,12,7,2,14,9,4,11,6,1,13,8>12,7,2,14,9,4,11,6,1,13,8,3
0,13,5,2,10,7,15,12,4,1,9,6>13,5,2,10,7,15,12,4,1,9,6,14
1,4,12,15,7,10,2,5,13,0,8,11>4,12,15,7,10,2,5,13,0,8,11,3
1,5,12,3,7,14,9,0,11,2,6,13>5,12,3,7,14,9,0,11,2,6,13,4
1,5,12,7,14,9,0,4,11,2,6,13>5,12,7,14,9,0,4,11,2,6,13,8
1,6,11,4,9,14,2,7,12,0,5,10>6,11,4,9,14,2,7,12,0,5,10,15
1,6,15,4,13,9,2,11,7,0,5,14>6,15,4,13,9,2,11,7,0,5,14,3
1,6,15,11,4,13,9,2,7,0,5,14>6,15,11,4,13,9,2,7,0,5,14,10
1,8,3,10,5,12,0,7,14,2,9,4>8,3,10,5,12,0,7,14,2,9,4,11
1,8,3,10,14,5,12,0,7,2,9,4>8,3,10,14,5,12,0,7,2,9,4,11
1,8,12,3,10,14,5,0,7,2,9,13>8,12,3,10,14,5,0,7,2,9,13,4
1,8,12,3,14,5,0,7,11,2,9,13>8,12,3,14,5,0,7,11,2,9,13,4
1,8,15,3,10,5,12,0,7,14,2,9>8,15,3,10,5,12,0,7,14,2,9,4
1,8,15,3,10,5,12,7,14,2,9,0>8,15,3,10,5,12,7,14,2,9,0,4
1,8,15,6,13,4,11,2,9,0,7,14>8,15,6,13,4,11,2,9,0,7,14,5
1,9,6,14,11,3,0,8,5,13,10,2>9,6,14,11,3,0,8,5,13,10,2,15
1,9,12,4,7,15,2,10,13,5,8,0>9,12,4,7,15,2,10,13,5,8,0,3
1,10,3,12,5,14,7,0,9,2,11,4>10,3,12,5,14,7,0,9,2,11,4,13
1,10,3,15,8,13,6,11,4,0,9,2>10,3,15,8,13,6,11,4,0,9,2,14
1,10,6,15,4,13,2,11,7,0,9,5>10,6,15,4,13,2,11,7,0,9,5,14
1,10,6,15,8,4,13,2,11,0,9,5>10,6,15,8,4,13,2,11,0,9,5,14
1,10,15,8,4,13,6,2,11,0,9,14>10,15,8,4,13,6,2,11,0,9,14,7
1,10,15,8,13,6,2,11,4,0,9,14>10,15,8,13,6,2,11,4,0,9,14,7
1,12,3,7,14,5,9,0,11,2,13,4>12,3,7,14,5,9,0,11,2,13,4,8
1,12,3,14,5,9,0,7,11,2,13,4>12,3,14,5,9,0,7,11,2,13,4,15
1,13,6,11,4,9,2,14,7,0,12,5>13,6,11,4,9,2,14,7,0,12,5,10
1,13,6,15,11,4,9,2,7,0,12,5>13,6,15,11,4,9,2,7,0,12,5,14
1,13,8,3,15,10,5,0,12,7,2,14>13,8,3,15,10,5,0,12,7,2,14,9
1,14,6,3,11,8,0,13,5,2,10,7>14,6,3,11,8,0,13,5,2,10,7,15
2,5,13,0,8,11,3,6,14,1,9,12>5,13,0,8,11,3,6,14,1,9,12,4
2,6,13,4,8,15,10,1,12,3,7,14>6,13,4,8,15,10,1,12,3,7,14,5
2,6,13,8,15,10,1,5,12,3,7,14>6,13,8,15,10,1,5,12,3,7,14,9
2,7,0,5,14,10,3,12,8,1,6,15>7,0,5,14,10,3,12,8,1,6,15,4
2,7,0,12,5,14,10,3,8,1,6,15>7,0,12,5,14,10,3,8,1,6,15,11
2,7,12,0,5,10,15,3,8,13,1,6>7,12,0,5,10,15,3,8,13,1,6,11
