word_decimal	rank	phase
3757441178375	38609	0
3757975952135	38608	0
3769096100871	38593	0
3832636673286	38584	0
3837010283526	38581	0
3899395448055	38579	0
3904030014729	38577	0
3907066690569	38573	0
3916038446775	38571	0
3979225509640	38554	0
4015674012937	38553	0
4020023629547	38551	0
4047410143051	38550	0
4047410208523	38549	0
4047410208587	38548	0
4047672483707	38543	0
4083858711820	38519	0
4088692786922	38517	0
4090371221324	38515	0
4116073402186	38508	0
4116341641082	38494	0
4147588027915	38485	0
4151882994955	38483	0
4156174817291	38480	0
4159054141259	38479	0
4159054206731	38478	0
4159054206795	38477	0
4215772726798	38474	0
4227852257102	38470	0
4227852322574	38467	0
4227852322638	38463	0
4230447548174	38357	0
4236433148238	38350	0
4236439046478	38349	0
4236439111950	38348	0
4236439112014	38347	0
4236969822574	38345	0
4236973885710	38343	0
4305102305613	38336	0
4305108203853	38335	0
4305108269325	38334	0
4305108269389	38333	0
4305638979949	38331	0
4305643043085	38329	0
5001122364761	38328	0
5014007070297	38327	0
5028734935496	38322	0
5029000225272	38308	0
5045497968730	38307	0
5046504601690	38306	0
5114637007705	38305	0
5115173747545	38304	0
5115185705305	38303	0
5147184349019	38302	0
5164388819292	38204	0
5183370404188	38204	1
5220215568988	38203	0
5220222607708	38202	0
5233064857947	38199	0
5233333096843	38196	0
5251394687323	38194	0
5288884714843	38193	0
5288884715099	38192	0
5302399648126	38189	0
5321331981406	38183	0
5331851622492	38182	0
5336220287326	38180	0
5389246152541	38168	0
5404889444701	38166	0
5477913606750	38165	0
6095617039438	38164	0
6099828698441	38163	0
6099828702537	38162	0
6099842461001	38161	0
6099842465097	38160	0
6105882459145	38158	0
6108418068297	38157	0
6108434833228	38156	0
6108451610443	38155	0
6110174281481	38153	0
6112713403977	38152	0
6112713408073	38151	0
6112729800268	38150	0
6114469248521	38149	0
6169501674760	38148	0
6169501674848	38147	0
6169501674849	38146	0
6172859365450	38145	0
6178088464136	38137	0
6178088464224	38128	0
6178088464225	38105	0
6181449291850	38104	0
6182383431176	38103	0
6182383431264	38102	0
6182383431265	38101	0
6197517660489	38100	0
6197517660937	38099	0
6201263745865	37992	0
6201800485705	37991	0
6201812627785	37990	0
6241528495689	37989	0
6241528495945	37988	0
6241528511305	37987	0
6241528511561	37986	0
6241542826825	37885	0
6241542827081	37879	0
6241543172425	37877	0
6245823463241	37876	0
6245823467337	37875	0
6245890563915	37874	0
6245896527691	37862	0
6250118430281	37949	0
6250118803017	37861	0
6250130664265	37892	9
6250131009865	37919	0
6252439838219	37859	0
6265702359372	37858	0
6265702359820	37857	0
6268724378188	37844	0
6269982650188	37842	0
6269997326668	37841	0
6288857590092	37840	0
6288857590348	37839	0
6288857605964	37838	0
6291371370252	37837	0
6314542935884	37836	0
6314542944073	37835	0
6314542944074	37834	0
6314559721290	37833	0
6314559786826	37832	0
6316059053834	37830	0
6318837902924	37829	0
6318928783948	37828	0
6338014271563	37826	0
6354990585867	37824	0
6357526736203	37823	0
6357540498763	37822	0
6357540525899	37821	0
6361888241741	37820	0
6361888241743	37819	0
6361905018957	37818	0
6361905018958	37817	0
6361905027147	37816	0
6387557383753	37815	0
6388538719840	37814	0
6388538719841	37813	0
6401911341390	37812	0
6401911341838	37811	0
6406206308686	37810	0
6407958719566	37808	0
6422043674702	37804	0
6425046992910	37802	0
6426329835854	37801	0
6426338618446	37762	0
6426338641742	37758	0
6429341959950	37756	0
6430557399116	37755	0
6430557403212	37754	0
6430624495694	37753	0
6430624499790	37752	0
6434919467086	37751	0
6434919467342	37750	0
6434919532878	37749	0
6434925431118	37737	0
6434926455630	37733	0
6434926455886	37729	0
6435993078126	37727	0
6437928749326	37725	0
6475872890701	38001	6
6490703984717	37724	0
6492961175565	37716	0
6497256142605	37714	0
6499276871759	37687	0
6499276879948	37686	0
6499276879949	37682	0
6499293657163	37681	0
6499293657165	37677	0
6501547964941	37674	0
6503521516365	37673	0
6503588624461	37672	0
6503588624717	37671	0
6503588690253	37670	0
6503594588493	37658	0
6503595601741	38001	6
6504662235501	37656	0
6507816483913	37655	0
6508797820000	37653	0
6508797820001	37651	0
6563735234894	37650	0
6567996352588	37649	0
6568013129803	37648	0
6568029894734	37647	0
6573225470304	37645	0
6573225470305	37643	0
6576626821710	37642	0
6580830923593	37641	0
6581812259680	37640	0
6581812259681	37639	0
6861472738416	37637	0
7276952268624	37623	0
7345402126203	37622	0
7365756174826	37619	0
7368236554876	37617	0
7370047997162	37615	0
7374342964202	37610	0
7388368599676	37609	0
7390899559036	37608	0
7414071283578	37607	0
7414071414602	37606	0
7414071414618	37605	0
7414339850074	37603	0
7414340898640	37602	0
7414340898650	37600	0
7433238205195	37598	0
7457052414331	37597	0
7487355338320	37596	0
7501422903678	37594	0
7501422904078	37593	0
7501422904176	37592	0
7501422904190	37589	0
7501685178798	37584	0
7505708735614	37560	0
7505977001134	37557	0
7510012576638	37556	0
7510271968174	37552	0
7525850530174	37549	0
7528870141054	37548	0
7528978432894	37547	0
7534431160654	37546	0
7534431160670	37545	0
7534699596126	37543	0
7534700644688	37542	0
7534700644702	37540	0
7570086097277	37535	0
7570354336173	37530	0
7574377881469	37521	0
7574377919613	37518	0
7574646158509	37515	0
7578672886653	37506	0
7578941125549	37502	0
7594510233469	37501	0
7596784312189	37497	0
7603100318029	37496	0
7603100318045	37495	0
7603368753501	37493	0
7603369802064	37489	0
7603369802077	37487	0
7607614438480	37479	0
7672089274704	37478	0
7873949520259	38204	14
7874012434819	37459	0
7876244365699	38204	14
7876782764419	38233	0
7892349940099	37457	0
7900939866499	37456	0
7955805646084	37451	0
7955805646176	37449	0
8022778206723	37447	0
8025651166095	37446	0
8025667943310	37445	0
8030028061699	37437	0
8034207547275	37436	0
8034319884035	37428	0
8038614851075	37427	0
8400890402027	37425	0
8444913819467	37424	0
8463724798348	38204	14
8464658506124	38204	15
8468016067724	37417	0
8468032832655	37410	0
8468049609870	37407	0
8472311587724	37406	0
8515109703555	37405	0
8531331305803	37985	0
8531331305835	37982	0
8531331306251	37979	0
8531331306336	37977	0
8531331306347	37975	0
8532304253323	37476	0
8532572688779	37403	0
8532572819819	37400	0
8532746883851	37392	0
8536769090699	37390	0
8537037526155	37388	0
8541129200907	37385	0
8541332624235	37384	0
8545627591531	37383	0
8545629688171	37380	0
8546885844331	37379	0
8587151201131	37378	0
8587153297771	37377	0
8601197044110	37373	0
8602724647694	37371	0
8605488563342	37368	0
8605488563374	37365	0
8607015289998	37363	0
8609783833486	37362	0
8611310388078	37361	0
8614347029614	37360	0
8615496879214	37357	0
8615605355374	37356	0
8615607452014	37354	0
8633942722894	37353	0
8669739012495	38204	13
8669739020685	38252	0
8674157720715	37351	0
8674157720717	37348	0
8674157720749	37345	0
8683411050349	37340	0
