word_decimal	rank	phase
15853286135174326	91714	0
15853286135174836	91713	0
15853286135190132	91709	0
15853286135190196	91706	0
15853286135190198	91657	0
15853286136747576	91655	0
15853291675358768	91649	0
15853291675358776	91640	0
15853403371788848	91609	0
15853405854814876	91602	0
15853405855290586	91597	0
15853406391638588	91596	0
15853406391677596	91592	0
15853406395832886	91588	0
15853406395832887	91586	0
15853406395832888	91584	0
15853406559449148	91580	0
15853540777172016	91572	0
15853540777172272	91571	0
15853540783463472	91567	0
15853540783463478	91565	0
15853540783463479	91563	0
15853540783463480	91561	0
15853540783463536	91560	0
15853540810742320	91550	0
15853540812839472	91546	0
15853540812839478	91542	0
15853540812839536	91541	0
15853543830592060	91539	0
15853543832689206	91528	0
15853543832689212	91526	0
15853543832689276	91525	0
15853543998394428	91523	0
15853609496649008	91522	0
15853609513426224	91521	0
15853609513430320	91520	0
15853678216125488	91512	0
15853680732705498	91503	0
15853680733066396	91482	0
15862474338776176	103947	0
15862474338776208	103939	0
15862474338776214	103937	0
15862474342577296	91468	0
15862476821763196	92898	1
15862476821763222	103928	0
15862476821763228	92898	1
15862476821763286	103923	0
15864281250928306	91464	0
15864281284482736	91460	0
15864398454371536	91457	0
15864401669435446	91401	0
15864401669435447	91394	0
15864401669435448	91353	0
15958698691949776	91351	0
15958701810390586	91350	0
15958701810390676	91349	0
15958701877499536	91327	0
15958707285947536	91325	0
15958837103434806	91320	0
15958837103435062	91315	0
15958837103481468	91305	0
15958837107629110	91301	0
15958837107629112	91297	0
15958837107629113	91296	0
15958837107629114	91295	0
15958837107629178	91294	0
15958837107629206	91290	0
15958839247246458	91286	0
15958839247246904	91285	0
15958839247246905	91284	0
15958839247246906	91283	0
15958839250916924	91282	0
15958839251456628	91279	0
15958839318565488	91276	0
15958845693368886	91270	0
15958845693368892	91269	0
15958845693368893	91268	0
15958845693368956	91267	0
15958845693368957	91266	0
15958845693369046	91262	0
15958845697563190	91257	0
15958845697563192	91253	0
15958845697593978	91246	0
15958849988336182	91241	0
15958849988336188	91240	0
15958849988336189	91239	0
15958849988336252	91238	0
15958849988336253	91237	0
15958959506330746	91229	0
15958959506332216	91228	0
15958959507905084	91227	0
15958959507905116	91226	0
15958959507944026	91172	0
15958959507944028	91169	0
15958959507944092	91165	0
15958982163462704	92898	1
15958982163462712	92898	1
15958983130225212	91164	0
15958983130225213	91163	0
15958983136516662	102807	0
15958983136516663	91161	0
15958983136516664	102803	0
15958983136539286	92898	1
15958983136541238	96411	0
15958983136541240	96397	0
15958983136647736	96383	0
15958983136647796	96356	0
15958987425192508	91160	0
15958987425192509	91159	0
15959248447241264	91132	0
15959249418198074	91338	0
15959249420295222	91129	0
15959249420317398	91122	0
15959249420319798	91113	0
15959249420426356	91101	0
15961035153497136	91096	0
15961035153497392	91091	0
15961035157691440	91087	0
15961035157691448	91040	0
15961035157691449	91039	0
15961035157691450	91038	0
15961035157691536	91034	0
15961038274696306	91032	0
15961038308250736	91029	0
15961038366986296	91028	0
15961038366986297	91027	0
15961038366986298	91026	0
15961038374719548	91025	0
15961043743431216	91019	0
15961043743431228	91018	0
15961043743431229	91017	0
15961043743431376	91013	0
15961043747625520	103973	0
15961043747625528	92898	1
15961048038398512	91008	0
15961048038398524	91007	0
15961048038398525	91006	0
15961158531069084	90992	0
15961158531683474	90983	0
15961158531684946	90982	0
15961158565237904	90945	0
15961158565239376	90942	0
15961181186578992	103915	0
15961181186579000	92898	1
15961181186585744	92898	1
15961181186587184	103905	0
15961181186587192	92898	1
15961182159665718	92898	1
15961182159665720	96180	0
15961182159903288	96173	0
15961182159903346	92898	1
15961182193457776	90767	0
15961447470357552	104661	0
15961447470363856	92898	1
15961447470365744	93445	0
15961448443444278	92898	1
15961448443681906	93414	0
15961448477236336	90761	0
15963380176280176	90705	0
15963381182921272	90690	0
15963381183027768	90686	0
15963381183027826	90610	0
15963381183052344	90598	0
15963381216582256	90518	0
15963646460058736	90506	0
15963647460777082	100706	0
15963647466806386	90502	0
15963647500360816	90498	0
15976429289479478	90493	0
15976433584446774	90490	0
15976433585495350	90486	0
15976442174380598	90481	0
15976442174380605	90480	0
15976442174380669	90479	0
15976442174380854	90476	0
15976442174380861	90475	0
15976442174380925	90474	0
15976442175429430	90470	0
15976442175429437	90469	0
15976442175429501	90468	0
15976579611236925	90467	0
15976579611237181	90466	0
15976648330713917	90465	0
15978627339541808	90460	0
15978631634509104	90457	0
15978631635557680	90453	0
15978640224442928	90448	0
15978640224442941	90447	0
15978640224443184	90444	0
15978640224443197	90443	0
15978640225491760	90439	0
15978640225491773	90438	0
15993883032344208	90437	0
15993883064038576	90435	0
15993883065898128	90434	0
15994021475523638	90429	0
15994021475570300	90422	0
15994021475570358	90419	0
15994021477620790	90415	0
15994021477620792	90411	0
15994021477620886	90407	0
15994021477667478	90405	0
15994030065457718	104090	0
15994030065457724	104089	0
15994030065457788	104087	0
15994030067554870	90401	0
15994030067554872	90398	0
15994143341548666	104072	0
15994143343170138	104062	0
15994143343170140	104057	0
15994143343170204	104048	0
15994166533454384	90384	0
15994166533454392	90332	0
15994167502314044	104031	0
15994167506508342	90329	0
15994167506508343	90327	0
15994167506508344	90324	0
15994167506530966	90318	0
15994167506532918	90312	0
15994167506532920	90306	0
15994167506639416	90301	0
15994167506639476	90294	0
15994278263706736	90291	0
15994278263706748	90281	0
15994278265527344	90276	0
15994278265527376	90272	0
15996219525585968	90271	0
15996219525616816	90270	0
15996219527683120	90269	0
15996219527683128	90268	0
15996219527683216	90267	0
15996219527713936	90266	0
15996228115520048	91797	0
15996228115520060	91796	0
15996228117617200	102613	0
15996228117617208	102576	0
15996342366295196	103985	0
15996342366901394	92898	1
15996342400455824	92898	1
15996365556570672	97781	0
15996365556570680	97774	0
15996365556577424	92898	1
15996365556578864	97291	0
15996365556578872	97290	0
15996366529657398	97272	0
15996366529657400	97194	0
15996366529894968	97169	0
15996366529895026	92898	1
15996366563449456	90867	0
15996477288651824	102558	0
15996477288651856	92898	1
15998564546271856	90229	0
15998565552912952	90218	0
15998565553019448	90215	0
15998565553019506	90211	0
15998565553044024	90205	0
15998565586573936	90143	0
15998565710327864	90081	0
15998565710327868	90080	0
16002687710697136	90077	0
16135084490140976	90076	0
16135084491189552	90075	0
16135088786156848	90074	0
16152680972201264	90073	0
16152680972266800	90072	0
16152680972266816	90071	0
16257908562206006	90067	0
16257917152140086	90063	0
16257917152140093	90062	0
16257917152140157	90061	0
16257917152140173	90060	0
16257977281682742	90057	0
16257977281682743	90054	0
16257977550118199	90051	0
16257977550183735	90048	0
16257977550183751	90045	0
16257985871616822	90042	0
16257985871616823	90039	0
16257985871616829	90038	0
16257985871616893	90037	0
16257985871616909	90036	0
16257986140052279	90033	0
16257986140052285	90032	0
16257986140052365	90031	0
16257986140117815	90028	0
16257986140117821	90027	0
16257986140117831	90024	0
16257986140117837	90023	0
16257986140117901	90022	0
16258123307424573	90021	0
16258123308473149	90020	0
16258123576908605	90019	0
16258123576974141	90018	0
16258123576974157	90017	0
16260106612268336	90013	0
16260115202202416	90009	0
16260115202202429	90008	0
16260175331745072	90005	0
16260175348522288	90002	0
16260175348526384	89999	0
