state,rank,phase,component_size,component_period
"2,10,7,15,12,4,1,9,6,14,11,3",37214,4,32,32
"2,10,13,5,8,0,3,11,14,6,9,1",38494,11,32,32
"2,11,0,9,5,14,7,3,12,1,10,15",38001,2,151,16
"2,11,0,9,14,7,3,12,5,1,10,15",38001,2,151,16
"2,11,4,0,9,14,7,12,5,1,10,3",38001,1,151,16
"2,11,4,13,6,15,8,1,10,3,12,5",38184,14,16,16
"2,11,7,0,5,14,3,12,8,1,10,6",38001,3,151,16
"2,11,7,0,9,5,14,3,12,1,10,6",38001,2,151,16
"2,13,4,8,15,6,10,1,12,3,14,5",38204,2,151,16
"2,13,4,15,6,10,1,8,12,3,14,5",38204,2,151,16
"2,14,7,0,12,5,10,3,8,1,13,6",38001,4,151,16
"2,14,7,0,12,5,10,3,15,8,1,13",38001,4,151,16
"2,14,7,12,5,10,3,15,8,1,13,6",38001,5,151,16
"2,14,9,4,11,6,1,13,8,3,15,10",38373,15,16,16
"2,15,7,4,12,9,1,14,6,3,11,8",37214,5,32,32
"3,0,8,5,13,10,2,15,7,4,12,9",37214,15,32,32
"3,6,14,1,9,12,4,7,15,2,10,13",38494,2,32,32
"3,7,14,5,9,0,11,2,13,4,8,15",38204,11,151,16
"3,7,14,9,0,11,2,6,13,4,8,15",38204,12,151,16
"3,8,1,6,15,11,4,13,9,2,7,0",38001,11,151,16
"3,8,1,13,6,15,11,4,9,2,7,0",38001,11,151,16
"3,8,13,1,6,11,4,9,14,2,7,12",37892,13,16,16
"3,10,1,5,12,7,14,9,0,4,11,2",38204,8,151,16
"3,10,1,8,15,6,13,4,11,2,9,0",37340,5,16,16
"3,10,5,12,0,7,14,2,9,4,11,6",38204,9,151,16
"3,10,5,12,7,14,2,9,0,4,11,6",38204,9,151,16
"3,10,14,5,0,7,2,9,13,4,11,15",38204,10,151,16
"3,10,14,5,12,0,7,2,9,4,11,15",38204,9,151,16
"3,11,8,0,13,5,2,10,7,15,12,4",37214,14,32,32
"3,11,14,6,9,1,4,12,15,7,10,2",38494,1,32,32
"3,12,1,10,6,15,8,4,13,2,11,0",38001,9,151,16
"3,12,1,10,15,8,4,13,6,2,11,0",38001,9,151,16
"3,12,5,1,10,15,8,13,6,2,11,4",38001,8,151,16
"3,12,5,14,7,0,9,2,11,4,13,6",38184,7,16,16
"3,12,8,1,6,15,4,13,9,2,11,7",38001,10,151,16
"3,12,8,1,10,6,15,4,13,2,11,7",38001,9,151,16
"3,14,5,0,7,11,2,9,13,4,15,6",38204,11,151,16
"3,14,5,9,0,7,11,2,13,4,15,6",38204,11,151,16
"3,15,8,1,13,6,11,4,9,2,14,7",38001,11,151,16
"3,15,8,13,6,11,4,0,9,2,14,7",38001,12,151,16
"3,15,10,5,0,12,7,2,14,9,4,11",38373,8,16,16
"4,0,9,2,14,7,12,5,10,3,15,8",38001,2,151,16
"4,0,9,14,7,12,5,1,10,3,15,8",38001,3,151,16
"4,1,9,6,14,11,3,0,8,5,13,10",37214,9,32,32
"4,7,15,2,10,13,5,8,0,3,11,14",38494,8,32,32
"4,8,15,6,10,1,12,3,14,5,9,0",38204,4,151,16
"4,8,15,10,1,12,3,7,14,5,9,0",38204,5,151,16
"4,9,2,7,0,12,5,14,10,3,8,1",38001,2,151,16
"4,9,2,14,7,0,12,5,10,3,8,1",38001,2,151,16
"4,9,2,14,7,0,12,5,10,3,15,8",38001,2,151,16
"4,9,14,2,7,12,0,5,10,15,3,8",37892,3,16,16
"4,11,2,6,13,8,15,10,1,5,12,3",38204,1,151,16
"4,11,2,9,0,7,14,5,12,3,10,1",37340,12,16,16
"4,11,6,1,13,8,3,15,10,5,0,12",38373,2,16,16
"4,11,6,13,1,8,15,3,10,5,12,0",38204,2,151,16
"4,11,6,13,1,8,15,3,10,5,12,7",38204,2,151,16
"4,11,6,13,8,15,3,10,1,5,12,7",38204,2,151,16
"4,11,15,6,1,8,3,10,14,5,12,0",38204,3,151,16
"4,11,15,6,13,1,8,3,10,5,12,0",38204,2,151,16
"4,12,9,1,14,6,3,11,8,0,13,5",37214,8,32,32
"4,12,15,7,10,2,5,13,0,8,11,3",38494,7,32,32
"4,13,2,11,0,9,5,14,7,3,12,1",38001,0,151,16
"4,13,2,11,7,0,9,5,14,3,12,1",38001,0,151,16
"4,13,6,2,11,0,9,14,7,3,12,5",38001,15,151,16
"4,13,6,15,8,1,10,3,12,5,14,7",38184,0,16,16
"4,13,9,2,7,0,5,14,10,3,12,8",38001,1,151,16
"4,13,9,2,11,7,0,5,14,3,12,8",38001,0,151,16
"4,15,6,1,8,12,3,10,14,5,0,7",38204,4,151,16
"4,15,6,10,1,8,12,3,14,5,0,7",38204,4,151,16
"5,0,7,2,9,13,4,11,15,6,1,8",38204,13,151,16
"5,0,7,11,2,9,13,4,15,6,1,8",38204,13,151,16
"5,0,12,7,2,14,9,4,11,6,1,13",38373,11,16,16
"5,1,10,3,15,8,13,6,11,4,0,9",38001,9,151,16
"5,1,10,15,8,13,6,2,11,4,0,9",38001,10,151,16
"5,2,10,7,15,12,4,1,9,6,14,11",37214,3,32,32
"5,8,0,3,11,14,6,9,1,4,12,15",38494,14,32,32
"5,9,0,7,11,2,13,4,15,6,10,1",38204,13,151,16
"5,9,0,11,2,13,4,8,15,6,10,1",38204,14,151,16
"5,10,3,8,1,13,6,15,11,4,9,2",38001,9,151,16
"5,10,3,15,8,1,13,6,11,4,9,2",38001,9,151,16
"5,10,15,3,8,13,1,6,11,4,9,14",37892,10,16,16
"5,12,0,7,2,9,4,11,15,6,13,1",38204,12,151,16
"5,12,0,7,14,2,9,4,11,6,13,1",38204,11,151,16
"5,12,3,7,14,9,0,11,2,6,13,4",38204,10,151,16
"5,12,3,10,1,8,15,6,13,4,11,2",37340,3,16,16
"5,12,7,14,2,9,0,4,11,6,13,8",38204,11,151,16
"5,12,7,14,9,0,4,11,2,6,13,8",38204,11,151,16
"5,13,0,8,11,3,6,14,1,9,12,4",38494,13,32,32
"5,13,10,2,15,7,4,12,9,1,14,6",37214,2,32,32
"5,14,3,12,1,10,6,15,8,4,13,2",38001,7,151,16
"5,14,3,12,8,1,10,6,15,4,13,2",38001,7,151,16
"5,14,7,0,9,2,11,4,13,6,15,8",38184,9,16,16
"5,14,7,3,12,1,10,15,8,4,13,6",38001,6,151,16
"5,14,10,3,8,1,6,15,11,4,13,9",38001,8,151,16
"5,14,10,3,12,8,1,6,15,4,13,9",38001,7,151,16
"6,1,8,3,10,14,5,12,0,7,2,9",38204,6,151,16
"6,1,8,12,3,10,14,5,0,7,2,9",38204,6,151,16
"6,1,13,8,3,15,10,5,0,12,7,2",38373,4,16,16
"6,2,11,0,9,14,7,3,12,5,1,10",38001,1,151,16
"6,2,11,4,0,9,14,7,12,5,1,10",38001,0,151,16
"6,3,11,8,0,13,5,2,10,7,15,12",37214,13,32,32
"6,9,1,4,12,15,7,10,2,5,13,0",38494,4,32,32
"6,10,1,8,12,3,14,5,0,7,11,2",38204,6,151,16
"6,10,1,12,3,14,5,9,0,7,11,2",38204,7,151,16
"6,11,4,0,9,2,14,7,12,5,10,3",38001,0,151,16
"6,11,4,9,2,14,7,0,12,5,10,3",38001,0,151,16
"6,11,4,9,14,2,7,12,0,5,10,15",37892,1,16,16
"6,13,1,8,3,10,5,12,0,7,14,2",38204,5,151,16
"6,13,1,8,15,3,10,5,12,0,7,14",38204,4,151,16
"6,13,1,8,15,3,10,5,12,7,14,2",38204,4,151,16
"6,13,4,8,15,10,1,12,3,7,14,5",38204,3,151,16
"6,13,4,11,2,9,0,7,14,5,12,3",37340,10,16,16
"6,13,8,15,3,10,1,5,12,7,14,9",38204,4,151,16
"6,13,8,15,10,1,5,12,3,7,14,9",38204,4,151,16
"6,14,1,9,12,4,7,15,2,10,13,5",38494,3,32,32
"6,14,11,3,0,8,5,13,10,2,15,7",37214,12,32,32
"6,15,4,13,2,11,7,0,9,5,14,3",38001,14,151,16
"6,15,4,13,9,2,11,7,0,5,14,3",38001,14,151,16
"6,15,8,1,10,3,12,5,14,7,0,9",38184,2,16,16
"6,15,8,4,13,2,11,0,9,5,14,7",38001,13,151,16
"6,15,11,4,9,2,7,0,12,5,14,10",38001,15,151,16
"6,15,11,4,13,9,2,7,0,5,14,10",38001,14,151,16
"7,0,5,14,3,12,8,1,10,6,15,4",38001,5,151,16
"7,0,5,14,10,3,12,8,1,6,15,4",38001,5,151,16
"7,0,9,2,11,4,13,6,15,8,1,10",38184,11,16,16
"7,0,9,5,14,3,12,1,10,6,15,8",38001,4,151,16
"7,0,12,5,10,3,8,1,13,6,15,11",38001,6,151,16
"7,0,12,5,10,3,15,8,1,13,6,11",38001,6,151,16
"7,0,12,5,14,10,3,8,1,6,15,11",38001,5,151,16
"7,2,9,4,11,15,6,13,1,8,3,10",38204,15,151,16
"7,2,9,13,4,11,15,6,1,8,3,10",38204,15,151,16
"7,2,14,9,4,11,6,1,13,8,3,15",38373,14,16,16
"7,3,12,1,10,15,8,4,13,6,2,11",38001,8,151,16
"7,3,12,5,1,10,15,8,13,6,2,11",38001,7,151,16
"7,4,12,9,1,14,6,3,11,8,0,13",37214,7,32,32
"7,10,2,5,13,0,8,11,3,6,14,1",38494,10,32,32
"7,11,2,9,13,4,15,6,1,8,12,3",38204,15,151,16
"7,11,2,13,4,15,6,10,1,8,12,3",38204,0,151,16
"7,12,0,5,10,15,3,8,13,1,6,11",37892,7,16,16
"7,12,5,1,10,3,15,8,13,6,11,4",38001,7,151,16
"7,12,5,10,3,15,8,1,13,6,11,4",38001,7,151,16
"7,14,2,9,0,4,11,6,13,8,15,3",38204,13,151,16
"7,14,2,9,4,11,6,13,1,8,15,3",38204,14,151,16
"7,14,5,9,0,11,2,13,4,8,15,6",38204,12,151,16
"7,14,5,12,3,10,1,8,15,6,13,4",37340,1,16,16
"7,14,9,0,4,11,2,6,13,8,15,10",38204,13,151,16
"7,14,9,0,11,2,6,13,4,8,15,10",38204,13,151,16
"7,15,2,10,13,5,8,0,3,11,14,6",38494,9,32,32
"7,15,12,4,1,9,6,14,11,3,0,8",37214,6,32,32
"8,0,3,11,14,6,9,1,4,12,15,7",38494,15,32,32
"8,0,13,5,2,10,7,15,12,4,1,9",37214,0,32,32
"8,1,6,15,4,13,9,2,11,7,0,5",38001,12,151,16
"8,1,6,15,11,4,13,9,2,7,0,5",38001,12,151,16
"8,1,10,3,12,5,14,7,0,9,2,11",38184,4,16,16
"8,1,10,6,15,4,13,2,11,7,0,9",38001,11,151,16
"8,1,13,6,11,4,9,2,14,7,0,12",38001,13,151,16
"8,1,13,6,15,11,4,9,2,7,0,12",38001,12,151,16
"8,3,10,5,12,0,7,14,2,9,4,11",38204,8,151,16
"8,3,10,14,5,12,0,7,2,9,4,11",38204,8,151,16
"8,3,15,10,5,0,12,7,2,14,9,4",38373,7,16,16
"8,4,13,2,11,0,9,5,14,7,3,12",38001,15,151,16
"8,4,13,6,2,11,0,9,14,7,3,12",38001,14,151,16
"8,5,13,10,2,15,7,4,12,9,1,14",37214,1,32,32
"8,11,3,6,14,1,9,12,4,7,15,2",38494,0,32,32
"8,12,3,10,14,5,0,7,2,9,13,4",38204,8,151,16
"8,12,3,14,5,0,7,11,2,9,13,4",38204,9,151,16
"8,13,1,6,11,4,9,14,2,7,12,0",37892,14,16,16
"8,13,6,2,11,4,0,9,14,7,12,5",38001,14,151,16
"8,13,6,11,4,0,9,2,14,7,12,5",38001,14,151,16
"8,15,3,10,1,5,12,7,14,9,0,4",38204,6,151,16
"8,15,3,10,5,12,0,7,14,2,9,4",38204,7,151,16
"8,15,3,10,5,12,7,14,2,9,0,4",38204,7,151,16
"8,15,6,10,1,12,3,14,5,9,0,7",38204,5,151,16
"8,15,6,13,4,11,2,9,0,7,14,5",37340,8,16,16
"8,15,10,1,5,12,3,7,14,9,0,11",38204,6,151,16
"8,15,10,1,12,3,7,14,5,9,0,11",38204,6,151,16
"9,0,4,11,2,6,13,8,15,10,1,5",38204,15,151,16
"9,0,4,11,6,13,8,15,3,10,1,5",38204,0,151,16
"9,0,7,11,2,13,4,15,6,10,1,8",38204,14,151,16
"9,0,7,14,5,12,3,10,1,8,15,6",37340,15,16,16
"9,0,11,2,6,13,4,8,15,10,1,12",38204,15,151,16
"9,0,11,2,13,4,8,15,6,10,1,12",38204,15,151,16
"9,1,4,12,15,7,10,2,5,13,0,8",38494,5,32,32
"9,1,14,6,3,11,8,0,13,5,2,10",37214,10,32,32
"9,2,7,0,5,14,10,3,12,8,1,6",38001,3,151,16
"9,2,7,0,12,5,14,10,3,8,1,6",38001,3,151,16
"9,2,11,4,13,6,15,8,1,10,3,12",38184,13,16,16
"9,2,11,7,0,5,14,3,12,8,1,10",38001,2,151,16
"9,2,14,7,0,12,5,10,3,8,1,13",38001,3,151,16
"9,2,14,7,0,12,5,10,3,15,8,1",38001,3,151,16
"9,2,14,7,12,5,10,3,15,8,1,13",38001,4,151,16
"9,4,11,6,1,13,8,3,15,10,5,0",38373,1,16,16
"9,4,11,6,13,1,8,15,3,10,5,12",38204,1,151,16
"9,4,11,15,6,13,1,8,3,10,5,12",38204,1,151,16
"9,5,14,3,12,1,10,6,15,8,4,13",38001,6,151,16
"9,5,14,7,3,12,1,10,15,8,4,13",38001,5,151,16
"9,6,14,11,3,0,8,5,13,10,2,15",37214,11,32,32
"9,12,4,7,15,2,10,13,5,8,0,3",38494,6,32,32
"9,13,4,11,15,6,1,8,3,10,14,5",38204,1,151,16
"9,13,4,15,6,1,8,12,3,10,14,5",38204,2,151,16
"9,14,2,7,12,0,5,10,15,3,8,13",37892,4,16,16
"9,14,7,3,12,5,1,10,15,8,13,6",38001,5,151,16
"9,14,7,12,5,1,10,3,15,8,13,6",38001,5,151,16
"10,1,5,12,3,7,14,9,0,11,2,6",38204,8,151,16
"10,1,5,12,7,14,9,0,4,11,2,6",38204,9,151,16
"10,1,8,12,3,14,5,0,7,11,2,9",38204,7,151,16
"10,1,8,15,6,13,4,11,2,9,0,7",37340,6,16,16
"10,1,12,3,7,14,5,9,0,11,2,13",38204,8,151,16
"10,1,12,3,14,5,9,0,7,11,2,13",38204,8,151,16
"10,2,5,13,0,8,11,3,6,14,1,9",38494,11,32,32
"10,2,15,7,4,12,9,1,14,6,3,11",37214,4,32,32
"10,3,8,1,6,15,11,4,13,9,2,7",38001,10,151,16
"10,3,8,1,13,6,15,11,4,9,2,7",38001,10,151,16
"10,3,12,5,14,7,0,9,2,11,4,13",38184,6,16,16
"10,3,12,8,1,6,15,4,13,9,2,11",38001,9,151,16
"10,3,15,8,1,13,6,11,4,9,2,14",38001,10,151,16
"10,3,15,8,13,6,11,4,0,9,2,14",38001,11,151,16
"10,5,0,12,7,2,14,9,4,11,6,1",38373,10,16,16
"10,5,12,0,7,14,2,9,4,11,6,13",38204,10,151,16
"10,5,12,7,14,2,9,0,4,11,6,13",38204,10,151,16
"10,6,15,4,13,2,11,7,0,9,5,14",38001,13,151,16
"10,6,15,8,4,13,2,11,0,9,5,14",38001,12,151,16
"10,7,15,12,4,1,9,6,14,11,3,0",37214,5,32,32
"10,13,5,8,0,3,11,14,6,9,1,4",38494,12,32,32
"10,14,5,0,7,2,9,13,4,11,15,6",38204,11,151,16
"10,14,5,12,0,7,2,9,4,11,15,6",38204,10,151,16
"10,15,3,8,13,1,6,11,4,9,14,2",37892,11,16,16
"10,15,8,4,13,6,2,11,0,9,14,7",38001,12,151,16
"10,15,8,13,6,2,11,4,0,9,14,7",38001,12,151,16
"11,0,9,5,14,7,3,12,1,10,15,8",38001,3,151,16
"11,0,9,14,7,3,12,5,1,10,15,8",38001,3,151,16
"11,2,6,13,4,8,15,10,1,12,3,7",38204,1,151,16
"11,2,6,13,8,15,10,1,5,12,3,7",38204,2,151,16
"11,2,9,0,7,14,5,12,3,10,1,8",37340,13,16,16
"11,2,9,13,4,15,6,1,8,12,3,10",38204,0,151,16
"11,2,13,4,8,15,6,10,1,12,3,14",38204,1,151,16
"11,2,13,4,15,6,10,1,8,12,3,14",38204,1,151,16
"11,3,0,8,5,13,10,2,15,7,4,12",37214,14,32,32
"11,3,6,14,1,9,12,4,7,15,2,10",38494,1,32,32
"11,4,0,9,2,14,7,12,5,10,3,15",38001,1,151,16
"11,4,0,9,14,7,12,5,1,10,3,15",38001,2,151,16
"11,4,9,2,7,0,12,5,14,10,3,8",38001,1,151,16
"11,4,9,2,14,7,0,12,5,10,3,8",38001,1,151,16
"11,4,9,2,14,7,0,12,5,10,3,15",38001,1,151,16
"11,4,9,14,2,7,12,0,5,10,15,3",37892,2,16,16
"11,4,13,6,15,8,1,10,3,12,5,14",38184,15,16,16
"11,4,13,9,2,7,0,5,14,10,3,12",38001,0,151,16
"11,6,1,13,8,3,15,10,5,0,12,7",38373,3,16,16
"11,6,13,1,8,15,3,10,5,12,0,7",38204,3,151,16
"11,6,13,1,8,15,3,10,5,12,7,14",38204,3,151,16
"11,6,13,8,15,3,10,1,5,12,7,14",38204,3,151,16
"11,7,0,5,14,3,12,8,1,10,6,15",38001,4,151,16
"11,7,0,9,5,14,3,12,1,10,6,15",38001,3,151,16
"11,8,0,13,5,2,10,7,15,12,4,1",37214,15,32,32
"11,14,6,9,1,4,12,15,7,10,2,5",38494,2,32,32
"11,15,6,1,8,3,10,14,5,12,0,7",38204,4,151,16
"11,15,6,13,1,8,3,10,5,12,0,7",38204,3,151,16
"12,0,5,10,15,3,8,13,1,6,11,4",37892,8,16,16
"12,0,7,2,9,4,11,15,6,13,1,8",38204,13,151,16
"12,0,7,14,2,9,4,11,6,13,1,8",38204,12,151,16
"12,1,10,6,15,8,4,13,2,11,0,9",38001,10,151,16
"12,1,10,15,8,4,13,6,2,11,0,9",38001,10,151,16
"12,3,7,14,5,9,0,11,2,13,4,8",38204,10,151,16
"12,3,7,14,9,0,11,2,6,13,4,8",38204,11,151,16
"12,3,10,1,8,15,6,13,4,11,2,9",37340,4,16,16
"12,3,10,14,5,0,7,2,9,13,4,11",38204,9,151,16
"12,3,14,5,0,7,11,2,9,13,4,15",38204,10,151,16
"12,3,14,5,9,0,7,11,2,13,4,15",38204,10,151,16
"12,4,1,9,6,14,11,3,0,8,5,13",37214,8,32,32
"12,4,7,15,2,10,13,5,8,0,3,11",38494,7,32,32
"12,5,1,10,3,15,8,13,6,11,4,0",38001,8,151,16
"12,5,1,10,15,8,13,6,2,11,4,0",38001,9,151,16
"12,5,10,3,8,1,13,6,15,11,4,9",38001,8,151,16
"12,5,10,3,15,8,1,13,6,11,4,9",38001,8,151,16
"12,5,14,7,0,9,2,11,4,13,6,15",38184,8,16,16
"12,5,14,10,3,8,1,6,15,11,4,13",38001,7,151,16
"12,7,2,14,9,4,11,6,1,13,8,3",38373,13,16,16
"12,7,14,2,9,0,4,11,6,13,8,15",38204,12,151,16
"12,7,14,9,0,4,11,2,6,13,8,15",38204,12,151,16
"12,8,1,6,15,4,13,9,2,11,7,0",38001,11,151,16
"12,8,1,10,6,15,4,13,2,11,7,0",38001,10,151,16
"12,9,1,14,6,3,11,8,0,13,5,2",37214,9,32,32
"12,15,7,10,2,5,13,0,8,11,3,6",38494,8,32,32
"13,0,8,11,3,6,14,1,9,12,4,7",38494,14,32,32
"13,1,6,11,4,9,14,2,7,12,0,5",37892,15,16,16
"13,1,8,3,10,5,12,0,7,14,2,9",38204,6,151,16
"13,1,8,15,3,10,5,12,0,7,14,2",38204,5,151,16
"13,1,8,15,3,10,5,12,7,14,2,9",38204,5,151,16
"13,2,11,0,9,5,14,7,3,12,1,10",38001,1,151,16
"13,2,11,7,0,9,5,14,3,12,1,10",38001,1,151,16
"13,4,8,15,6,10,1,12,3,14,5,9",38204,3,151,16
"13,4,8,15,10,1,12,3,7,14,5,9",38204,4,151,16
"13,4,11,2,9,0,7,14,5,12,3,10",37340,11,16,16
"13,4,11,15,6,1,8,3,10,14,5,12",38204,2,151,16
"13,4,15,6,1,8,12,3,10,14,5,0",38204,3,151,16
"13,4,15,6,10,1,8,12,3,14,5,0",38204,3,151,16
"13,5,2,10,7,15,12,4,1,9,6,14",37214,2,32,32
"13,5,8,0,3,11,14,6,9,1,4,12",38494,13,32,32
"13,6,2,11,0,9,14,7,3,12,5,1",38001,0,151,16
"13,6,2,11,4,0,9,14,7,12,5,1",38001,15,151,16
"13,6,11,4,0,9,2,14,7,12,5,10",38001,15,151,16
"13,6,11,4,9,2,14,7,0,12,5,10",38001,15,151,16
"13,6,15,8,1,10,3,12,5,14,7,0",38184,1,16,16
"13,6,15,11,4,9,2,7,0,12,5,14",38001,14,151,16
"13,8,3,15,10,5,0,12,7,2,14,9",38373,6,16,16
"13,8,15,3,10,1,5,12,7,14,9,0",38204,5,151,16
"13,8,15,10,1,5,12,3,7,14,9,0",38204,5,151,16
"13,9,2,7,0,5,14,10,3,12,8,1",38001,2,151,16
"13,9,2,11,7,0,5,14,3,12,8,1",38001,1,151,16
"13,10,2,15,7,4,12,9,1,14,6,3",37214,3,32,32
"14,1,9,12,4,7,15,2,10,13,5,8",38494,4,32,32
"14,2,7,12,0,5,10,15,3,8,13,1",37892,5,16,16
"14,2,9,0,4,11,6,13,8,15,3,10",38204,14,151,16
"14,2,9,4,11,6,13,1,8,15,3,10",38204,15,151,16
"14,3,12,1,10,6,15,8,4,13,2,11",38001,8,151,16
"14,3,12,8,1,10,6,15,4,13,2,11",38001,8,151,16
"14,5,0,7,2,9,13,4,11,15,6,1",38204,12,151,16
"14,5,0,7,11,2,9,13,4,15,6,1",38204,12,151,16
"14,5,9,0,7,11,2,13,4,15,6,10",38204,12,151,16
"14,5,9,0,11,2,13,4,8,15,6,10",38204,13,151,16
"14,5,12,0,7,2,9,4,11,15,6,13",38204,11,151,16
"14,5,12,3,10,1,8,15,6,13,4,11",37340,2,16,16
"14,6,3,11,8,0,13,5,2,10,7,15",37214,12,32,32
"14,6,9,1,4,12,15,7,10,2,5,13",38494,3,32,32
"14,7,0,9,2,11,4,13,6,15,8,1",38184,10,16,16
"14,7,0,12,5,10,3,8,1,13,6,15",38001,5,151,16
"14,7,0,12,5,10,3,15,8,1,13,6",38001,5,151,16
"14,7,3,12,1,10,15,8,4,13,6,2",38001,7,151,16
"14,7,3,12,5,1,10,15,8,13,6,2",38001,6,151,16
"14,7,12,5,1,10,3,15,8,13,6,11",38001,6,151,16
"14,7,12,5,10,3,15,8,1,13,6,11",38001,6,151,16
"14,9,0,4,11,2,6,13,8,15,10,1",38204,14,151,16
"14,9,0,11,2,6,13,4,8,15,10,1",38204,14,151,16
"14,9,4,11,6,1,13,8,3,15,10,5",38373,0,16,16
"14,10,3,8,1,6,15,11,4,13,9,2",38001,9,151,16
"14,10,3,12,8,1,6,15,4,13,9,2",38001,8,151,16
"14,11,3,0,8,5,13,10,2,15,7,4",37214,13,32,32
"15,2,10,13,5,8,0,3,11,14,6,9",38494,10,32,32
"15,3,8,13,1,6,11,4,9,14,2,7",37892,12,16,16
"15,3,10,1,5,12,7,14,9,0,4,11",38204,7,151,16
"15,3,10,5,12,0,7,14,2,9,4,11",38204,8,151,16
"15,3,10,5,12,7,14,2,9,0,4,11",38204,8,151,16
"15,4,13,2,11,7,0,9,5,14,3,12",38001,15,151,16
"15,4,13,9,2,11,7,0,5,14,3,12",38001,15,151,16
