state,rank,phase,component_size,component_period
"0,3,11,14,6,9,1,4,12,15,7,10",38494,0,32,32
"0,4,11,2,6,13,8,15,10,1,5,12",38204,0,151,16
"0,4,11,6,13,8,15,3,10,1,5,12",38204,1,151,16
"0,5,10,15,3,8,13,1,6,11,4,9",37892,9,16,16
"0,5,14,3,12,8,1,10,6,15,4,13",38001,6,151,16
"0,5,14,10,3,12,8,1,6,15,4,13",38001,6,151,16
"0,7,2,9,4,11,15,6,13,1,8,3",38204,14,151,16
"0,7,2,9,13,4,11,15,6,1,8,3",38204,14,151,16
"0,7,11,2,9,13,4,15,6,1,8,12",38204,14,151,16
"0,7,11,2,13,4,15,6,10,1,8,12",38204,15,151,16
"0,7,14,2,9,4,11,6,13,1,8,15",38204,13,151,16
"0,7,14,5,12,3,10,1,8,15,6,13",37340,0,16,16
"0,8,5,13,10,2,15,7,4,12,9,1",37214,0,32,32
"0,8,11,3,6,14,1,9,12,4,7,15",38494,15,32,32
"0,9,2,11,4,13,6,15,8,1,10,3",38184,12,16,16
"0,9,2,14,7,12,5,10,3,15,8,1",38001,3,151,16
"0,9,5,14,3,12,1,10,6,15,8,4",38001,5,151,16
"0,9,5,14,7,3,12,1,10,15,8,4",38001,4,151,16
"0,9,14,7,3,12,5,1,10,15,8,13",38001,4,151,16
"0,9,14,7,12,5,1,10,3,15,8,13",38001,4,151,16
"0,11,2,6,13,4,8,15,10,1,12,3",38204,0,151,16
"0,11,2,13,4,8,15,6,10,1,12,3",38204,0,151,16
"0,12,5,10,3,8,1,13,6,15,11,4",38001,7,151,16
"0,12,5,10,3,15,8,1,13,6,11,4",38001,7,151,16
"0,12,5,14,10,3,8,1,6,15,11,4",38001,6,151,16
"0,12,7,2,14,9,4,11,6,1,13,8",38373,12,16,16
"0,13,5,2,10,7,15,12,4,1,9,6",37214,1,32,32
"1,4,12,15,7,10,2,5,13,0,8,11",38494,6,32,32
"1,5,12,3,7,14,9,0,11,2,6,13",38204,9,151,16
"1,5,12,7,14,9,0,4,11,2,6,13",38204,10,151,16
"1,6,11,4,9,14,2,7,12,0,5,10",37892,0,16,16
"1,6,15,4,13,9,2,11,7,0,5,14",38001,13,151,16
"1,6,15,11,4,13,9,2,7,0,5,14",38001,13,151,16
"1,8,3,10,5,12,0,7,14,2,9,4",38204,7,151,16
"1,8,3,10,14,5,12,0,7,2,9,4",38204,7,151,16
"1,8,12,3,10,14,5,0,7,2,9,13",38204,7,151,16
"1,8,12,3,14,5,0,7,11,2,9,13",38204,8,151,16
"1,8,15,3,10,5,12,0,7,14,2,9",38204,6,151,16
"1,8,15,3,10,5,12,7,14,2,9,0",38204,6,151,16
"1,8,15,6,13,4,11,2,9,0,7,14",37340,7,16,16
"1,9,6,14,11,3,0,8,5,13,10,2",37214,10,32,32
"1,9,12,4,7,15,2,10,13,5,8,0",38494,5,32,32
"1,10,3,12,5,14,7,0,9,2,11,4",38184,5,16,16
"1,10,3,15,8,13,6,11,4,0,9,2",38001,10,151,16
"1,10,6,15,4,13,2,11,7,0,9,5",38001,12,151,16
"1,10,6,15,8,4,13,2,11,0,9,5",38001,11,151,16
"1,10,15,8,4,13,6,2,11,0,9,14",38001,11,151,16
"1,10,15,8,13,6,2,11,4,0,9,14",38001,11,151,16
"1,12,3,7,14,5,9,0,11,2,13,4",38204,9,151,16
"1,12,3,14,5,9,0,7,11,2,13,4",38204,9,151,16
"1,13,6,11,4,9,2,14,7,0,12,5",38001,14,151,16
"1,13,6,15,11,4,9,2,7,0,12,5",38001,13,151,16
"1,13,8,3,15,10,5,0,12,7,2,14",38373,5,16,16
"1,14,6,3,11,8,0,13,5,2,10,7",37214,11,32,32
"2,5,13,0,8,11,3,6,14,1,9,12",38494,12,32,32
"2,6,13,4,8,15,10,1,12,3,7,14",38204,2,151,16
"2,6,13,8,15,10,1,5,12,3,7,14",38204,3,151,16
"2,7,0,5,14,10,3,12,8,1,6,15",38001,4,151,16
"2,7,0,12,5,14,10,3,8,1,6,15",38001,4,151,16
"2,7,12,0,5,10,15,3,8,13,1,6",37892,6,16,16
"2,9,0,4,11,6,13,8,15,3,10,1",38204,15,151,16
"2,9,0,7,14,5,12,3,10,1,8,15",37340,14,16,16
"2,9,4,11,6,13,1,8,15,3,10,5",38204,0,151,16
"2,9,4,11,15,6,13,1,8,3,10,5",38204,0,151,16
"2,9,13,4,11,15,6,1,8,3,10,14",38204,0,151,16
"2,9,13,4,15,6,1,8,12,3,10,14",38204,1,151,16
