state,rank,phase,component_size,component_period
"2,13,8,3,10,5,0,11,6,1,12,9,4,13,8",92898,1,4848,2
"2,13,8,3,10,7,0,11,6,1,12,5,2,13,8",83663,1,12,12
"2,13,8,3,12,5,0,11,6,1,10,7,2,13,8",92898,1,4848,2
"2,13,8,3,12,5,0,11,6,1,10,7,4,13,8",92898,1,4848,2
"2,13,8,3,12,7,0,11,6,1,10,5,2,13,8",92898,1,4848,2
"2,13,8,3,12,7,4,11,0,5,10,1,6,9,2",81900,0,14,14
"2,13,8,3,12,7,10,5,0,9,4,1,12,7,2",92898,1,4848,2
"2,13,8,3,12,9,6,1,10,7,0,3,12,5,2",92898,1,4848,2
"2,13,8,5,0,7,4,1,10,3,12,9,6,13,8",92898,1,4848,2
"2,13,8,5,0,11,6,1,10,13,8,3,12,7,4",92898,1,4848,2
"2,13,8,5,0,11,6,3,12,9,4,1,10,7,2",64372,0,14,14
"2,13,8,5,12,7,4,1,10,3,0,9,6,13,8",92898,1,4848,2
"2,13,8,5,12,7,4,1,10,3,0,11,6,13,8",92898,1,4848,2
"2,13,8,5,12,9,4,1,10,3,0,11,6,13,8",92898,1,4848,2
"2,13,8,11,0,5,10,1,4,7,12,3,6,13,10",92898,1,4848,2
"2,13,10,3,0,7,4,1,8,5,12,9,6,13,10",92898,1,4848,2
"2,13,10,3,0,11,8,5,12,9,6,3,0,7,4",92898,1,4848,2
"2,13,10,3,6,9,0,7,12,1,4,11,2,5,8",92898,1,4848,2
"2,13,10,3,6,9,0,7,12,1,4,11,2,5,10",92898,1,4848,2
"2,13,10,3,12,9,4,1,8,5,0,11,6,13,10",92898,1,4848,2
"2,13,10,3,12,9,6,1,8,5,0,11,4,13,10",92898,1,4848,2
"2,13,10,5,0,9,4,7,2,11,6,1,12,9,4",92898,1,4848,2
"2,13,10,5,0,9,4,7,2,13,6,1,12,9,4",92898,1,4848,2
"2,13,10,5,12,7,4,1,8,3,0,9,6,13,10",92898,1,4848,2
"2,13,10,5,12,7,4,1,8,3,0,11,6,13,10",92898,1,4848,2
"2,13,10,5,12,9,4,1,8,3,0,11,6,13,10",92898,1,4848,2
"2,13,10,5,12,9,6,1,8,3,0,11,4,13,10",92898,1,4848,2
"2,13,10,7,0,11,6,1,4,13,8,3,12,9,6",92898,1,4848,2
"2,13,10,7,0,11,8,5,2,9,6,3,0,11,4",92898,1,4848,2
"2,13,10,7,0,11,8,5,2,13,6,3,0,11,8",92898,1,4848,2
"2,13,10,7,0,11,8,5,2,13,6,3,12,9,4",92898,1,4848,2
"2,13,10,7,4,11,0,5,2,13,8,3,12,9,6",92898,1,4848,2
"2,13,10,7,4,11,6,3,0,13,8,1,12,9,6",92898,1,4848,2
"2,13,10,7,4,11,8,5,2,13,6,3,0,11,8",92898,1,4848,2
"3,0,5,10,1,6,9,12,3,8,13,4,1,6,11",92898,0,4848,2
"3,0,5,12,1,6,13,10,3,8,11,2,7,0,13",92898,0,4848,2
"3,0,5,12,1,6,13,10,3,8,11,4,1,6,13",92898,0,4848,2
"3,0,5,12,1,6,13,10,3,8,11,4,7,0,13",92898,0,4848,2
"3,0,5,12,1,8,13,10,3,6,11,2,7,0,13",92898,0,4848,2
"3,0,5,12,1,8,13,10,3,6,11,4,1,8,13",92898,0,4848,2
"3,0,5,12,1,8,13,10,3,6,11,4,7,0,13",92898,0,4848,2
"3,0,7,2,11,6,13,10,5,0,9,4,1,8,13",92898,0,4848,2
"3,0,7,2,11,6,13,10,5,0,9,4,1,12,7",92898,0,4848,2
"3,0,7,2,13,6,9,12,5,0,11,4,1,10,7",92898,0,4848,2
"3,0,7,2,13,8,5,12,9,4,1,10,3,0,11",92898,0,4848,2
"3,0,7,2,13,10,5,12,9,4,1,8,3,0,11",92898,0,4848,2
"3,0,7,2,13,10,5,12,9,6,1,8,3,0,11",92898,0,4848,2
"3,0,7,4,1,8,5,12,9,6,13,10,3,0,11",92898,0,4848,2
"3,0,7,4,1,12,9,2,13,10,7,4,11,0,5",92898,0,4848,2
"3,0,7,4,1,12,9,2,13,10,7,4,11,6,3",92898,0,4848,2
"3,0,7,4,1,12,9,2,13,10,7,4,11,8,5",92898,0,4848,2
"3,0,7,4,11,8,5,12,9,2,13,10,3,0,7",92898,0,4848,2
"3,0,7,4,13,10,5,12,9,6,1,8,3,0,11",92898,0,4848,2
"3,0,7,10,1,6,9,12,3,8,13,2,5,0,11",92898,0,4848,2
"3,0,7,10,1,6,9,12,3,8,13,4,1,6,11",92898,0,4848,2
"3,0,7,10,1,6,11,2,5,12,9,4,13,8,3",93360,0,14,14
"3,0,7,10,1,8,5,12,3,6,13,10,1,8,11",92898,0,4848,2
"3,0,7,10,5,12,9,2,13,0,7,4,11,6,3",92898,0,4848,2
"3,0,7,10,5,12,9,2,13,0,7,4,11,6,9",92898,0,4848,2
"3,0,7,10,5,12,9,2,13,0,7,4,11,8,3",92898,0,4848,2
"3,0,7,10,5,12,9,4,13,0,7,2,11,6,3",92898,0,4848,2
"3,0,7,10,5,12,9,4,13,0,7,2,11,8,3",92898,0,4848,2
"3,0,7,12,1,6,13,10,3,8,11,4,1,6,13",92898,0,4848,2
"3,0,7,12,1,8,13,10,3,6,11,2,5,8,13",92898,0,4848,2
"3,0,7,12,1,8,13,10,3,6,11,4,1,8,13",92898,0,4848,2
"3,0,9,2,5,10,13,6,11,0,7,4,1,8,13",92898,0,4848,2
"3,0,9,2,11,8,5,12,7,0,13,10,1,4,9",92898,0,4848,2
"3,0,9,2,11,8,5,12,7,4,1,10,3,0,9",92898,0,4848,2
"3,0,9,2,11,8,5,12,7,4,13,10,3,0,9",92898,0,4848,2
"3,0,9,2,13,8,5,12,7,4,1,10,3,0,9",92898,0,4848,2
"3,0,9,2,13,8,5,12,7,4,1,10,3,0,11",92898,0,4848,2
"3,0,9,2,13,10,5,12,7,4,1,8,3,0,9",92898,0,4848,2
"3,0,9,2,13,10,5,12,7,4,1,8,3,0,11",92898,0,4848,2
"3,0,9,4,13,8,5,12,1,6,11,2,7,10,3",69780,1,14,14
"3,0,9,4,13,8,11,6,1,10,5,2,13,8,3",92898,0,4848,2
"3,0,9,6,1,8,5,2,11,4,13,10,7,0,9",92898,0,4848,2
"3,0,9,6,1,12,7,4,13,10,5,2,11,8,3",80834,1,14,14
"3,0,9,6,13,8,5,2,11,4,1,10,7,0,9",92898,0,4848,2
"3,0,9,6,13,8,5,2,11,4,1,12,7,0,9",92898,0,4848,2
"3,0,9,6,13,10,5,2,11,4,1,8,13,0,9",92898,0,4848,2
"3,0,9,6,13,10,5,2,11,4,1,12,7,0,9",92898,0,4848,2
"3,0,9,12,1,6,11,2,5,8,13,4,7,10,3",82259,0,14,14
"3,0,9,12,1,6,13,2,5,8,11,4,7,10,3",82611,0,14,14
"3,0,11,2,5,12,9,6,13,0,7,4,1,8,11",92898,0,4848,2
"3,0,11,4,1,8,5,2,9,6,13,10,7,0,11",92898,0,4848,2
"3,0,11,4,1,8,13,2,9,6,11,4,7,0,13",92898,0,4848,2
"3,0,11,4,1,12,9,6,13,10,7,4,1,8,3",92898,0,4848,2
"3,0,11,4,1,12,9,6,13,10,7,4,1,8,5",92898,0,4848,2
"3,0,11,4,13,10,5,2,9,6,1,12,7,0,11",92898,0,4848,2
"3,0,11,4,13,10,7,2,9,6,1,12,5,0,11",92898,0,4848,2
"3,0,11,6,1,10,5,8,3,12,7,2,13,10,5",92898,0,4848,2
"3,0,11,6,1,10,13,8,3,12,7,4,1,10,5",92898,0,4848,2
"3,0,11,6,13,8,5,2,9,4,1,10,7,0,11",92898,0,4848,2
"3,0,11,6,13,8,5,2,9,4,1,10,13,0,7",92898,0,4848,2
"3,0,11,6,13,8,5,2,9,4,1,12,7,0,11",92898,0,4848,2
"3,0,11,6,13,10,5,2,9,4,1,8,13,0,7",92898,0,4848,2
"3,0,11,6,13,10,5,2,9,4,1,8,13,0,11",92898,0,4848,2
"3,0,11,6,13,10,5,2,9,4,1,12,7,0,11",92898,0,4848,2
"3,0,11,6,13,10,5,8,3,0,7,2,13,10,5",92898,0,4848,2
"3,0,11,6,13,10,7,2,9,4,1,12,5,0,11",92898,0,4848,2
"3,0,11,8,1,10,13,6,3,12,5,8,1,10,7",92898,0,4848,2
"3,0,11,8,1,10,13,6,3,12,7,4,1,10,5",92898,0,4848,2
"3,0,11,8,1,12,9,6,3,10,7,4,1,12,5",92898,0,4848,2
"3,0,11,8,5,12,9,6,3,0,7,4,1,12,9",92898,0,4848,2
"3,0,13,6,1,8,5,2,11,4,13,10,7,0,9",92898,0,4848,2
"3,0,13,6,1,10,7,2,11,8,13,4,9,0,5",92898,0,4848,2
"3,0,13,8,1,12,9,6,3,10,7,4,1,12,5",92898,0,4848,2
"3,0,13,10,1,6,9,2,5,8,11,4,7,12,3",83456,0,14,14
"3,0,13,10,5,12,9,6,3,0,7,4,1,12,9",92898,0,4848,2
"3,6,1,10,5,0,11,8,3,12,7,2,5,0,9",92898,0,4848,2
"3,6,1,10,5,0,11,8,3,12,7,2,13,6,1",92898,0,4848,2
"3,6,1,10,5,0,13,8,3,12,7,2,11,6,1",92898,0,4848,2
"3,6,1,10,5,0,13,8,3,12,7,10,5,0,9",92898,0,4848,2
"3,6,9,0,5,8,11,2,7,12,1,4,13,10,3",82816,1,14,14
"3,6,9,0,5,10,1,12,3,8,13,4,7,10,1",92898,0,4848,2
"3,6,9,0,7,10,1,4,11,2,5,8,13,6,9",92898,0,4848,2
"3,6,9,0,7,10,13,4,11,2,5,8,1,6,9",92898,0,4848,2
"3,6,9,0,7,10,13,4,11,2,5,8,1,6,13",92898,0,4848,2
"3,6,9,0,7,12,1,4,11,2,5,8,13,6,9",92898,0,4848,2
"3,6,9,0,7,12,1,4,11,2,5,10,13,6,9",92898,0,4848,2
"3,6,9,2,5,8,11,0,7,10,13,2,5,12,1",92898,0,4848,2
"3,6,9,2,5,8,11,0,7,10,13,2,5,12,3",92898,0,4848,2
"3,6,9,2,5,8,11,0,7,12,1,4,13,10,3",94528,0,14,14
"3,6,9,2,5,12,1,4,11,0,7,10,13,6,9",92898,0,4848,2
"3,6,9,2,7,10,1,4,11,0,5,8,13,6,9",92898,0,4848,2
"3,6,9,2,7,10,13,0,5,12,1,4,7,10,3",92898,0,4848,2
"3,6,9,2,7,10,13,4,11,0,5,8,1,6,9",92898,0,4848,2
"3,6,9,2,13,8,1,12,5,0,11,4,7,10,3",74444,0,14,14
"3,6,9,2,13,8,11,0,5,10,1,4,7,12,3",92898,0,4848,2
"3,6,9,4,1,10,13,0,7,12,5,8,11,2,9",92898,0,4848,2
"3,6,9,12,1,8,11,0,3,6,13,2,5,8,11",92898,0,4848,2
"3,6,9,12,1,8,13,0,3,6,11,2,7,10,13",92898,0,4848,2
"3,6,9,12,1,8,13,0,3,6,11,4,7,10,13",92898,0,4848,2
"3,6,9,12,5,0,11,4,1,8,13,2,7,10,3",74436,0,14,14
"3,6,9,12,5,0,13,4,1,8,11,2,7,10,3",74387,0,14,14
"3,6,9,12,5,8,11,0,3,10,13,2,5,8,1",92898,0,4848,2
"3,6,9,12,5,10,13,0,3,8,1,4,7,10,13",92898,0,4848,2
"3,6,11,0,5,8,13,2,7,10,1,4,9,12,3",82354,1,14,14
"3,6,11,0,5,10,1,8,13,2,7,12,3,6,9",92898,0,4848,2
"3,6,11,0,5,10,1,8,13,2,7,12,3,6,11",92898,0,4848,2
"3,6,11,0,5,12,1,4,9,2,7,10,13,6,11",92898,0,4848,2
"3,6,11,0,5,12,1,8,13,2,7,10,3,6,11",92898,0,4848,2
"3,6,11,0,5,12,9,2,13,8,1,4,7,10,3",92466,1,14,14
"3,6,11,0,7,10,1,4,9,2,5,8,13,6,11",92898,0,4848,2
"3,6,11,0,7,10,1,8,13,2,5,12,3,6,9",92898,0,4848,2
"3,6,11,0,7,10,1,8,13,2,5,12,3,6,11",92898,0,4848,2
"3,6,11,0,7,12,1,4,9,2,5,8,13,6,11",92898,0,4848,2
"3,6,11,0,7,12,1,4,9,2,5,10,13,6,11",92898,0,4848,2
"3,6,11,0,7,12,1,8,13,2,5,10,3,6,9",92898,0,4848,2
"3,6,11,0,7,12,1,8,13,2,5,10,3,6,11",92898,0,4848,2
"3,6,11,0,13,8,1,4,9,2,5,10,13,6,11",92898,0,4848,2
"3,6,11,2,5,0,9,4,13,8,11,2,7,10,1",92898,0,4848,2
"3,6,11,2,5,8,13,0,7,10,1,4,9,12,3",94783,0,14,14
"3,6,11,2,5,8,13,4,9,0,11,2,7,12,3",92898,0,4848,2
"3,6,11,2,5,10,1,8,13,0,7,12,3,6,11",92898,0,4848,2
"3,6,11,2,5,12,1,8,13,0,7,10,3,6,11",92370,0,12,12
"3,6,11,2,5,12,9,0,13,8,1,4,7,10,3",97572,0,14,14
"3,6,11,2,7,0,13,4,9,12,5,10,7,0,3",92898,0,4848,2
"3,6,11,2,7,10,1,8,13,0,5,12,3,6,9",92898,0,4848,2
"3,6,11,2,7,10,1,8,13,0,5,12,3,6,11",92898,0,4848,2
"3,6,11,2,7,10,13,0,5,12,1,4,7,10,3",92898,0,4848,2
"3,6,11,2,7,12,1,8,5,0,9,4,13,10,3",69619,1,14,14
"3,6,11,2,7,12,1,8,13,0,5,10,3,6,11",81498,1,12,12
"3,6,11,2,7,12,9,0,5,10,1,4,7,12,3",92898,0,4848,2
"3,6,11,4,1,8,13,0,9,6,11,2,5,12,3",92898,0,4848,2
"3,6,11,4,1,8,13,0,9,6,11,4,7,12,3",92898,0,4848,2
"3,6,11,4,1,8,13,2,9,6,11,4,7,0,13",92898,0,4848,2
"3,6,11,4,7,0,13,2,9,12,5,10,7,0,3",92898,0,4848,2
"3,6,11,4,7,10,1,8,13,0,5,12,3,6,9",92898,0,4848,2
"3,6,11,4,7,10,1,8,13,0,5,12,3,6,11",92898,0,4848,2
"3,6,11,4,7,10,1,8,13,2,5,12,3,6,9",92898,0,4848,2
"3,6,11,4,7,10,1,8,13,2,5,12,3,6,11",92898,0,4848,2
"3,6,11,4,7,10,13,2,9,12,1,4,7,0,3",92898,0,4848,2
"3,6,11,4,7,12,1,8,13,2,5,10,3,6,9",92898,0,4848,2
"3,6,11,4,7,12,1,8,13,2,5,10,3,6,11",92898,0,4848,2
"3,6,11,4,9,12,1,8,13,2,5,10,3,6,11",92898,0,4848,2
"3,6,11,4,9,12,1,8,13,2,7,10,3,6,11",92898,0,4848,2
"3,6,11,8,13,0,9,4,1,6,11,2,7,12,3",92898,0,4848,2
"3,6,11,8,13,0,9,4,1,6,11,2,7,12,9",92898,0,4848,2
"3,6,13,0,5,8,11,2,7,10,1,4,9,12,3",82832,1,14,14
"3,6,13,0,5,10,1,8,11,2,7,12,3,6,13",81839,1,12,12
"3,6,13,0,5,12,1,8,11,2,7,10,3,6,13",102268,0,12,12
"3,6,13,0,7,10,1,8,11,2,5,12,3,6,9",92898,0,4848,2
"3,6,13,0,7,10,1,8,11,2,5,12,3,6,13",92898,0,4848,2
"3,6,13,0,7,12,1,8,11,2,5,10,3,6,9",92898,0,4848,2
"3,6,13,0,7,12,1,8,11,2,5,10,3,6,13",92898,0,4848,2
"3,6,13,2,5,8,11,0,7,10,1,4,9,12,3",92898,0,4848,2
"3,6,13,2,5,8,11,0,7,10,13,2,5,12,1",92898,0,4848,2
"3,6,13,2,5,8,11,0,7,10,13,2,5,12,3",92898,0,4848,2
"3,6,13,2,5,8,11,4,7,10,13,2,9,12,1",92898,0,4848,2
"3,6,13,2,5,10,1,8,11,0,7,12,3,6,13",73677,1,12,12
"3,6,13,2,5,12,1,8,11,0,7,10,3,6,9",92898,0,4848,2
"3,6,13,2,5,12,1,8,11,0,7,10,3,6,13",92898,0,4848,2
"3,6,13,2,7,10,1,4,11,0,5,12,9,6,13",92898,0,4848,2
"3,6,13,2,7,10,1,8,11,0,5,12,3,6,9",92898,0,4848,2
"3,6,13,2,7,10,1,8,11,0,5,12,3,6,13",92898,0,4848,2
"3,6,13,2,7,12,1,8,11,0,5,10,3,6,13",81381,1,12,12
"3,6,13,2,7,12,9,0,5,10,1,4,7,12,3",92898,0,4848,2
"3,6,13,2,9,12,1,8,11,4,7,10,3,6,13",92898,0,4848,2
"3,6,13,4,1,8,11,0,9,6,13,2,5,12,3",92898,0,4848,2
"3,6,13,4,7,10,1,8,11,0,5,12,3,6,9",92898,0,4848,2
"3,6,13,4,7,10,1,8,11,0,5,12,3,6,13",92898,0,4848,2
"3,6,13,4,7,10,1,8,11,2,5,12,3,6,9",92898,0,4848,2
"3,6,13,4,7,10,1,8,11,2,5,12,3,6,13",92898,0,4848,2
"3,6,13,4,7,12,1,8,11,2,5,10,3,6,9",92898,0,4848,2
"3,6,13,4,7,12,1,8,11,2,5,10,3,6,13",92898,0,4848,2
"3,6,13,10,1,8,11,0,3,6,13,2,5,8,11",92898,0,4848,2
"3,6,13,10,1,8,11,0,3,6,13,2,7,12,9",92898,0,4848,2
"3,6,13,10,1,8,11,0,7,4,13,2,5,12,9",92898,0,4848,2
"3,6,13,10,1,8,11,2,7,4,13,0,5,12,9",92898,0,4848,2
"3,6,13,10,5,0,9,4,1,8,11,2,7,12,3",73650,0,14,14
"3,6,13,10,5,12,1,8,3,0,7,10,5,12,9",92898,0,4848,2
"3,8,1,4,7,10,13,6,9,12,1,4,11,0,3",92898,0,4848,2
"3,8,1,4,7,12,5,10,13,2,9,0,3,6,11",92898,0,4848,2
"3,8,1,4,7,12,5,10,13,2,9,0,3,8,11",92898,0,4848,2
"3,8,1,4,9,0,13,6,11,2,5,10,3,0,7",92898,0,4848,2
"3,8,1,4,9,0,13,6,11,2,7,10,3,0,5",92898,0,4848,2
"3,8,1,4,9,12,5,10,13,2,7,0,3,6,11",92898,0,4848,2
"3,8,1,4,9,12,5,10,13,2,7,0,3,8,5",92898,0,4848,2
"3,8,1,4,9,12,5,10,13,2,7,0,3,8,11",92898,0,4848,2
"3,8,1,4,11,0,13,6,9,2,5,10,3,0,7",92898,0,4848,2
"3,8,1,4,11,0,13,6,9,2,7,4,11,0,5",92898,0,4848,2
"3,8,1,4,11,0,13,6,9,2,7,10,3,0,5",92898,0,4848,2
"3,8,1,6,9,12,5,10,13,2,7,0,3,8,5",92898,0,4848,2
"3,8,1,6,9,12,5,10,13,2,7,0,3,8,11",92898,0,4848,2
"3,8,1,6,9,12,5,10,13,4,7,0,3,8,11",92898,0,4848,2
"3,8,1,12,5,10,13,6,3,8,1,4,9,0,13",92898,0,4848,2
"3,8,1,12,5,10,13,6,3,8,1,4,11,0,13",92898,0,4848,2
"3,8,5,10,1,6,11,0,3,8,13,4,9,6,11",92898,0,4848,2
"3,8,5,10,13,6,11,0,3,8,1,4,7,12,5",92898,0,4848,2
"3,8,5,10,13,6,11,0,3,8,1,4,9,12,5",92898,0,4848,2
"3,8,11,0,5,10,1,6,3,8,13,4,9,12,1",92898,0,4848,2
"3,8,11,0,5,10,1,6,13,2,7,12,3,8,11",92898,0,4848,2
"3,8,11,0,5,12,1,4,9,2,7,10,13,6,11",92898,0,4848,2
"3,8,11,0,5,12,1,6,9,2,7,10,13,4,11",92898,0,4848,2
"3,8,11,0,5,12,1,6,13,2,7,10,3,8,11",92898,0,4848,2
"3,8,11,0,7,10,1,6,13,2,5,12,3,8,11",91046,0,12,12
"3,8,11,0,7,12,1,4,9,2,5,10,13,6,11",92898,0,4848,2
"3,8,11,0,7,12,1,6,9,2,5,10,13,4,11",92898,0,4848,2
"3,8,11,0,7,12,1,6,13,2,5,10,3,8,11",92898,0,4848,2
"3,8,11,2,5,10,1,4,7,0,13,6,9,12,3",80415,0,14,14
"3,8,11,2,5,10,1,6,13,0,7,12,3,8,11",80357,1,12,12
"3,8,11,2,5,10,13,4,7,12,1,6,9,0,3",91327,1,14,14
"3,8,11,2,5,12,1,6,9,0,7,10,13,4,11",92898,0,4848,2
"3,8,11,2,5,12,1,6,13,0,7,10,3,8,11",92898,0,4848,2
"3,8,11,2,7,0,13,4,9,12,5,10,7,0,3",92898,0,4848,2
"3,8,11,2,7,10,1,6,13,0,5,12,3,8,11",92898,0,4848,2
"3,8,11,2,7,10,1,6,13,0,5,12,9,4,11",92898,0,4848,2
"3,8,11,2,7,12,1,6,13,0,5,10,3,8,11",81309,1,12,12
"3,8,11,2,9,12,1,6,13,4,7,10,3,0,11",92898,0,4848,2
"3,8,11,2,9,12,1,6,13,4,7,10,3,8,11",92898,0,4848,2
"3,8,11,2,9,12,5,0,13,4,7,2,9,6,1",92898,0,4848,2
"3,8,11,4,1,6,13,0,7,12,9,2,5,10,3",92898,0,4848,2
"3,8,11,4,1,10,5,0,9,6,13,2,7,12,3",69489,1,14,14
"3,8,11,4,1,10,5,2,9,6,13,0,7,12,3",73628,1,14,14
"3,8,11,4,7,0,13,2,9,12,5,10,7,0,3",92898,0,4848,2
"3,8,11,4,7,0,13,6,1,10,5,2,9,12,3",68349,0,14,14
"3,8,11,4,7,12,1,6,13,2,5,10,3,8,11",92898,0,4848,2
"3,8,11,4,9,12,1,6,13,2,5,10,3,8,11",92898,0,4848,2
"3,8,11,4,9,12,1,6,13,2,7,4,9,0,5",92898,0,4848,2
"3,8,11,4,9,12,1,6,13,2,7,10,3,8,11",92898,0,4848,2
"3,8,11,4,9,12,5,0,13,2,7,10,3,6,11",92898,0,4848,2
"3,8,11,4,9,12,5,0,13,6,1,10,7,2,11",92898,0,4848,2
"3,8,11,4,13,10,1,6,9,2,7,4,13,0,5",92898,0,4848,2
"3,8,11,4,13,10,5,0,9,2,7,12,3,6,11",92898,0,4848,2
"3,8,13,0,5,10,1,6,3,8,13,4,9,12,1",92898,0,4848,2
"3,8,13,0,5,10,1,6,11,2,7,12,3,8,13",92898,0,4848,2
"3,8,13,0,5,10,1,6,11,2,7,12,9,4,13",92898,0,4848,2
"3,8,13,0,5,12,1,6,11,2,7,10,3,8,13",104470,0,12,12
"3,8,13,0,7,10,1,6,11,2,5,12,3,8,13",93214,0,12,12
"3,8,13,0,7,12,1,6,11,2,5,10,3,8,13",102581,0,12,12
"3,8,13,2,5,0,11,4,7,10,13,2,9,12,1",92898,0,4848,2
"3,8,13,2,5,10,1,6,11,0,7,12,3,8,13",92898,0,4848,2
"3,8,13,2,5,10,1,6,11,8,13,4,9,0,3",92898,0,4848,2
"3,8,13,2,5,12,1,6,11,0,7,10,3,8,13",93709,1,12,12
"3,8,13,2,7,10,1,4,11,0,5,12,9,6,13",92898,0,4848,2
"3,8,13,2,7,10,1,6,11,0,5,12,3,8,13",92898,0,4848,2
"3,8,13,2,7,10,1,6,11,0,5,12,9,4,13",92898,0,4848,2
"3,8,13,2,7,12,1,4,9,0,5,10,7,12,3",92898,0,4848,2
"3,8,13,2,7,12,1,6,11,0,5,10,3,8,13",92898,0,4848,2
"3,8,13,2,9,6,1,10,5,0,11,4,7,12,3",73616,0,14,14
"3,8,13,2,11,0,5,10,7,4,9,12,3,0,13",92898,0,4848,2
"3,8,13,4,1,6,11,0,7,10,13,2,5,12,3",92898,0,4848,2
"3,8,13,4,1,6,11,2,7,10,13,4,9,0,5",92898,0,4848,2
"3,8,13,4,7,0,11,6,1,10,5,2,9,12,3",68285,0,14,14
"3,8,13,4,7,10,1,6,11,0,5,12,3,8,13",92898,0,4848,2
"3,8,13,4,7,10,1,6,11,2,13,4,9,0,5",92898,0,4848,2
"3,8,13,4,9,0,5,10,1,6,11,2,7,12,3",92898,0,4848,2
"3,8,13,4,9,0,5,10,1,6,13,2,7,12,3",92898,0,4848,2
"3,8,13,4,9,6,11,0,7,12,1,4,9,2,5",92898,0,4848,2
"3,8,13,4,9,6,11,2,7,12,1,4,9,0,5",92898,0,4848,2
"3,8,13,4,9,12,1,6,11,0,5,10,3,8,13",92898,0,4848,2
"3,8,13,4,9,12,1,6,11,2,7,4,9,0,5",92898,0,4848,2
"3,8,13,4,9,12,5,0,11,6,1,10,7,2,13",92898,0,4848,2
"3,8,13,4,9,12,5,2,11,6,1,10,7,0,3",90867,1,14,14
"3,8,13,4,11,6,1,10,7,2,9,12,5,0,13",92898,0,4848,2
"3,8,13,10,1,6,11,0,3,8,13,4,9,6,11",92898,0,4848,2
"3,8,13,10,1,6,11,0,5,8,13,2,7,12,3",92898,0,4848,2
"3,8,13,10,1,6,11,2,5,8,13,4,9,0,11",92898,0,4848,2
"3,10,1,4,7,0,5,8,11,2,9,12,3,6,13",92898,0,4848,2
"3,10,1,4,7,0,5,8,13,2,9,12,3,6,11",92898,0,4848,2
"3,10,1,4,7,12,5,8,11,2,9,0,3,6,13",92898,0,4848,2
"3,10,1,4,7,12,5,8,13,2,9,0,3,6,11",92898,0,4848,2
"3,10,1,4,9,12,5,8,13,2,7,0,3,6,11",92898,0,4848,2
"3,10,5,0,11,6,1,12,7,2,13,8,3,10,5",92898,0,4848,2
"3,10,5,0,11,6,1,12,9,4,13,8,3,6,1",92898,0,4848,2
"3,10,5,0,11,8,1,12,7,2,13,6,3,10,5",101342,0,12,12
"3,10,5,0,13,6,1,12,7,2,11,8,3,10,5",101385,0,12,12
"3,10,5,0,13,8,1,12,7,2,11,6,3,10,5",101516,0,12,12
"3,10,5,2,9,6,13,0,11,4,1,8,3,6,13",92898,0,4848,2
"3,10,5,2,9,12,7,0,13,6,1,4,11,8,3",92898,0,4848,2
"3,10,5,2,11,6,1,12,7,0,13,8,3,10,5",59624,1,12,12
"3,10,5,2,11,6,13,0,9,4,1,8,3,6,13",92898,0,4848,2
"3,10,5,2,11,8,1,12,7,0,13,6,3,10,5",92898,0,4848,2
"3,10,5,2,11,8,1,12,7,4,13,6,3,0,9",92898,0,4848,2
"3,10,5,2,13,6,1,12,7,0,11,8,3,10,5",92898,0,4848,2
"3,10,5,2,13,6,1,12,7,4,11,8,3,0,9",92898,0,4848,2
"3,10,5,2,13,6,1,12,9,4,11,8,3,0,7",92898,0,4848,2
"3,10,5,2,13,8,1,12,7,0,11,6,3,10,5",92898,0,4848,2
"3,10,5,2,13,8,1,12,7,4,11,6,3,0,9",92898,0,4848,2
"3,10,5,2,13,8,1,12,9,4,11,6,3,0,7",92898,0,4848,2
"3,10,7,0,9,12,5,2,13,4,7,0,11,8,1",92898,0,4848,2
"3,10,7,0,11,6,1,12,5,2,13,8,3,10,7",83663,0,12,12
"3,10,7,0,11,8,1,12,5,2,13,6,3,10,7",92898,0,4848,2
"3,10,7,0,13,6,1,12,5,2,11,8,3,10,7",92898,0,4848,2
"3,10,7,0,13,8,1,12,5,2,11,6,3,10,7",103193,0,12,12
"3,10,7,2,5,0,13,4,9,12,7,2,11,6,1",92898,0,4848,2
"3,10,7,2,9,6,13,0,11,4,1,8,3,6,13",92898,0,4848,2
"3,10,7,2,9,12,5,0,11,4,7,2,9,6,13",92898,0,4848,2
"3,10,7,2,9,12,5,0,13,4,7,2,9,6,1",92898,0,4848,2
"3,10,7,2,9,12,5,0,13,4,7,2,11,8,1",92898,0,4848,2
"3,10,7,2,11,6,1,12,5,0,13,8,3,10,7",59549,1,12,12
"3,10,7,2,11,6,1,12,5,8,13,4,9,0,3",89128,1,14,14
"3,10,7,2,11,6,13,0,9,4,1,8,3,6,13",92898,0,4848,2
"3,10,7,2,11,8,1,4,13,0,5,12,9,6,3",98275,1,14,14
"3,10,7,2,11,8,1,12,5,0,13,6,3,10,7",76343,1,12,12
"3,10,7,2,11,8,5,0,9,4,13,2,11,6,1",92898,0,4848,2
"3,10,7,2,13,0,5,12,9,4,11,8,3,0,7",92898,0,4848,2
"3,10,7,2,13,6,1,12,5,0,11,8,3,10,7",92898,0,4848,2
"3,10,7,2,13,6,1,12,9,4,11,8,3,0,7",92898,0,4848,2
"3,10,7,2,13,6,1,12,9,4,11,8,5,0,7",92898,0,4848,2
"3,10,7,2,13,8,1,4,11,0,5,12,9,6,3",79228,1,14,14
